Model,Manufacturer,Firebox Volume,Emission Rate (grams/hr),Heat Ouput Range (BTUs),Heat Output Upper (BTUs),Heat Output Lower (BTUs),Efficiency,Type,Subtype,Fuel Type,Test Method,CO,NSPS Compliance 2020
2B Classic 2020,Morso Jernstoberi A/S,0.686,0.5,31988-9037,31988,9037,80,Wood Stove,Non-Catalytic Stove,Cord Wood,,0.5,Yes
"3.5 Series (Solution 3.5, Osburn 3500, Gateway 3500, Escape 2100, HT-3000, Solution 3.5-I, FW3500, Osburn 3500-I, HES350, Hei350, Blue Ridge 500, Escape 2100-I, CW3500, Blue Ridge 500-I)","Stove Builder International, Inc.",2.88,1.6,57800-17200,57800,17200,71,Wood Stove,Non-Catalytic Stove,Cord Wood,,1.2,Yes
"30 Compact, 30 Compact-H, 30 Compact-one",STUV AMERICA Inc.,0.99,1.8,17049-12550,17049,12550,74,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.14,Yes
"30.2 Series: Sirocco 30.2 (SC30.2),
Ashford 30.2 (AF30.2), and Chinook 30.2 (CK30.2)","Blaze King Industries, Inc.",2.843,0.81,36076-10094,36076,10094,83,Wood Stove,Catalytic Stove,Crib Wood,,0.65,Yes
"3112B, 3142B",Morso Jernstoberi A/S,0.85,1.9,28000-9199,28000,9199,68,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.93,Yes
"55-SHPCB120, 55-TRPCB120, and 25-CB120","Stove Builder International, Inc.",Not Applicable,1.4,23466-11993,23466,11993,76,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.27,Yes
"5710, AP5710, VG5710, 5501S, AP5501S, VG5501S, 5710-XH, and US513M",United States Stove Company,Not Applicable,1,27492-13281,27492,13281,69,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.1,Yes
"5770, 5770i, VG5770, VG5770i, AP5770, AP5770i, DNMP577, DNMP577i, 5790, VG5790, AP5790, DNMP579, Comfort Glow CGPS2100, CGPS2200, DuraHeat DHPS2100, DuraHeat DHPS2200",United States Stove Company,Not Applicable,0.85,18619-8830,18619,8830,70,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.41,Yes
"5780, AP5780, VG5780, SP5780, and SP58",United States Stove Company,Not Applicable,1.3,26386-12293,26386,12293,72,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.21,Yes
AGP Insert,"Travis Industries, Inc",Not Applicable,0.98,33686-8320,33686,8320,76,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.21,Yes
AGP PS,"Travis Industries, Inc",Not Applicable,1.8,34738-8959,34738,8959,76,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.31,Yes
Absolute Steel Hybrid 211,"Woodstock Soapstone Company, Inc.",2.43,0.5,45317-14426,45317,14426,77,Wood Stove,Hybrid,Crib Wood,,0.04,Yes
"Ambiance Elegance 36 24SF, Novo 24 - Soapstone","Foyers Supreme, Inc",2.24,1.8,25944-10125,25944,10125,67,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.7,Yes
"Astra 18, Elegance 30, Novo 18 – Soapstone, and Novo 18 – Cast Iron ","Foyers Supreme, Inc",1.56,1.2,19821-11152,19821,11152,70,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.8,Yes
"Astra 24 24SFC, Novo 24 - Cast Iron, Monarch 24 (24SFC)","Foyers Supreme, Inc",2.25,1,24090-11131,24090,11131,71,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.6,Yes
"Astra 32, Elegance 40","Foyers Supreme, Inc",3.2,1.5,29274-12430,29274,12430,67,Wood Stove,Non-Catalytic Stove,Crib Wood,,1.97,Yes
"Astra 38, Elegance 42, Novo 38 – Soapstone, Novo 38 Cast Iron","Foyers Supreme, Inc",3.5,1.8,26354-11704,26354,11704,68,Wood Stove,Non-Catalytic Stove,Crib Wood,,2.1,Yes
"BayWin Free Standing, BayWin Insert, BWS-BD, BWS-GD, BWI-BD, BWI-GD",APR Industries Ltd.,Not Applicable,0.83,28727-8019,28727,8019,76,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.046,Yes
"Breckwell Maverick SP22(i), Breckwell Sonora SP23(i), Breckwell Blazer Insert SP24(i), Breckwell SP2000(i), Breckwell AP2000(i), Breckwell SP2700, Breckwell SP4000, Breckwell SPC4000, Breckwell APC4000, Breckwell 5040(i) ",United States Stove Company,Not Applicable,0.49,32788-4814,32788,4814,63,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.1,Yes
"Breckwell SP1000, Big E",United States Stove Company,Not Applicable,1.5,31935-5813,31935,5813,66,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.25,Yes
"Breckwell SP2047 (Traverse), GW7400, ARGO500",United States Stove Company,Not Applicable,0.41,33684-16030,33684,16030,75,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.36,Yes
Castle Serenity 12327,"ARDISAM, Inc. ",Not Applicable,1.1,22266-9831,22266,9831,70,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,,Yes
Castleton 8031,Hearthstone Quality Home Heating Products Inc.,1.9,0.98,24540-12501,24540,12501,77,Wood Stove,Hybrid,Crib Wood,,0.55,Yes
"Cook, Cicero, Chief, Cuistot, Elda, Marmiton",J. A. Roby Inc. ,1.37,1.9,21782-9806,21782,9806,64,Wood Stove,Non-Catalytic Stove,Crib Wood,,0.03,Yes
Delta Fusion,"RSF / Industrial Chimney Company, Incorporated",4.04,1.3,34057-33721,34057,33721,60,Wood Stove,Non-Catalytic Stove,Crib Wood,,2.38,Yes
"EF2-1, Chatham-1, Davenport-1, Kinderhook-1","Sherwood Industries, Ltd.",Not Applicable,1.4,32134-8852,32134,8852,77,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.123,Yes
EasyFire Pellet Stove,"Sierra Products, Inc.",Not Applicable,0.82,17732-7943,17732,7943,63,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.56,Yes
"Enviro – Maxx-1
","Sherwood Industries, Ltd.",Not Applicable,1.5,67020-27745,67020,27745,77,Pellet Stove,Non-Catalytic Stove,Wood Pellets,,0.24,Yes
F 500 V3,"Jotul North America (Jotul U.S.A., Inc.)",2.41,0.5,38804-14001,38804,14001,78,Wood Stove,Hybrid,Crib Wood,,0.5,Yes
"F1500, I1500",FPI/Regency Fireplace Products,0.98,1,24488-14244,24488,14244,78,Wood Stove,Catalytic Stove,Crib Wood,,0.32,Yes
